"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2017","AQS","060371103","1","0.031","ppm","29","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"01/02/2017","AQS","060371103","1","0.035","ppm","32","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"01/05/2017","AQS","060371103","1","0.021","ppm","19","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"01/07/2017","AQS","060371103","1","0.017","ppm","16","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"01/08/2017","AQS","060371103","1","0.03","ppm","28","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"01/09/2017","AQS","060371103","1","0.018","ppm","17","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"01/10/2017","AQS","060371103","1","0.025","ppm","23","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"01/11/2017","AQS","060371103","1","0.033","ppm","31","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"01/12/2017","AQS","060371103","1","0.019","ppm","18","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"01/13/2017","AQS","060371103","1","0.018","ppm","17","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"01/14/2017","AQS","060371103","1","0.017","ppm","16","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"01/15/2017","AQS","060371103","1","0.034","ppm","31","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"01/16/2017","AQS","060371103","1","0.035","ppm","32","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"01/17/2017","AQS","060371103","1","0.028","ppm","26","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"01/18/2017","AQS","060371103","1","0.028","ppm","26","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"01/20/2017","AQS","060371103","1","0.036","ppm","33","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"01/21/2017","AQS","060371103","1","0.038","ppm","35","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"01/22/2017","AQS","060371103","1","0.034","ppm","31","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"01/23/2017","AQS","060371103","1","0.038","ppm","35","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"01/24/2017","AQS","060371103","1","0.032","ppm","30","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"01/25/2017","AQS","060371103","1","0.032","ppm","30","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"01/26/2017","AQS","060371103","1","0.026","ppm","24","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"01/28/2017","AQS","060371103","1","0.027","ppm","25","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"01/29/2017","AQS","060371103","1","0.031","ppm","29","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"01/30/2017","AQS","060371103","1","0.033","ppm","31","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"01/31/2017","AQS","060371103","1","0.027","ppm","25","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"02/01/2017","AQS","060371103","1","0.036","ppm","33","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"02/02/2017","AQS","060371103","1","0.024","ppm","22","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"02/03/2017","AQS","060371103","1","0.019","ppm","18","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"02/04/2017","AQS","060371103","1","0.035","ppm","32","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"02/05/2017","AQS","060371103","1","0.024","ppm","22","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"02/06/2017","AQS","060371103","1","0.022","ppm","20","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"02/07/2017","AQS","060371103","1","0.019","ppm","18","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"02/08/2017","AQS","060371103","1","0.012","ppm","11","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"02/09/2017","AQS","060371103","1","0.022","ppm","20","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"02/12/2017","AQS","060371103","1","0.031","ppm","29","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"02/13/2017","AQS","060371103","1","0.028","ppm","26","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"02/14/2017","AQS","060371103","1","0.028","ppm","26","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"02/15/2017","AQS","060371103","1","0.033","ppm","31","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"02/16/2017","AQS","060371103","1","0.025","ppm","23","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"02/17/2017","AQS","060371103","1","0.044","ppm","41","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"02/18/2017","AQS","060371103","1","0.045","ppm","42","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"02/19/2017","AQS","060371103","1","0.035","ppm","32","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"02/20/2017","AQS","060371103","1","0.027","ppm","25","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"02/21/2017","AQS","060371103","1","0.024","ppm","22","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"02/22/2017","AQS","060371103","1","0.042","ppm","39","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"02/23/2017","AQS","060371103","1","0.043","ppm","40","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"02/24/2017","AQS","060371103","1","0.042","ppm","39","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"02/25/2017","AQS","060371103","1","0.041","ppm","38","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"02/26/2017","AQS","060371103","1","0.041","ppm","38","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"02/27/2017","AQS","060371103","1","0.028","ppm","26","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"02/28/2017","AQS","060371103","1","0.044","ppm","41","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"03/01/2017","AQS","060371103","1","0.04","ppm","37","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"03/02/2017","AQS","060371103","1","0.038","ppm","35","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"03/03/2017","AQS","060371103","1","0.042","ppm","39","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"03/04/2017","AQS","060371103","1","0.052","ppm","48","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"03/05/2017","AQS","060371103","1","0.044","ppm","41","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"03/06/2017","AQS","060371103","1","0.039","ppm","36","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"03/07/2017","AQS","060371103","1","0.039","ppm","36","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"03/08/2017","AQS","060371103","1","0.042","ppm","39","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"03/09/2017","AQS","060371103","1","0.052","ppm","48","Los Angeles-North Main Street","14","82.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"03/10/2017","AQS","060371103","1","0.056","ppm","54","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"03/11/2017","AQS","060371103","1","0.061","ppm","71","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"03/12/2017","AQS","060371103","1","0.06","ppm","67","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"03/13/2017","AQS","060371103","1","0.055","ppm","51","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"03/14/2017","AQS","060371103","1","0.053","ppm","49","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"03/15/2017","AQS","060371103","1","0.05","ppm","46","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"03/16/2017","AQS","060371103","1","0.04","ppm","37","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"03/17/2017","AQS","060371103","1","0.054","ppm","50","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"03/18/2017","AQS","060371103","1","0.051","ppm","47","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"03/19/2017","AQS","060371103","1","0.051","ppm","47","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"03/20/2017","AQS","060371103","1","0.038","ppm","35","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"03/21/2017","AQS","060371103","1","0.021","ppm","19","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"03/22/2017","AQS","060371103","1","0.037","ppm","34","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"03/23/2017","AQS","060371103","1","0.044","ppm","41","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"03/24/2017","AQS","060371103","1","0.043","ppm","40","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"03/25/2017","AQS","060371103","1","0.043","ppm","40","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"03/26/2017","AQS","060371103","1","0.05","ppm","46","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"03/27/2017","AQS","060371103","1","0.05","ppm","46","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"03/28/2017","AQS","060371103","1","0.046","ppm","43","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"03/30/2017","AQS","060371103","1","0.049","ppm","45","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"03/31/2017","AQS","060371103","1","0.045","ppm","42","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"04/01/2017","AQS","060371103","1","0.05","ppm","46","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"04/02/2017","AQS","060371103","1","0.049","ppm","45","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"04/03/2017","AQS","060371103","1","0.039","ppm","36","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"04/04/2017","AQS","060371103","1","0.05","ppm","46","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"04/05/2017","AQS","060371103","1","0.06","ppm","67","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"04/06/2017","AQS","060371103","1","0.045","ppm","42","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"04/07/2017","AQS","060371103","1","0.051","ppm","47","Los Angeles-North Main Street","15","88.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"04/08/2017","AQS","060371103","1","0.05","ppm","46","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"04/09/2017","AQS","060371103","1","0.056","ppm","54","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"04/10/2017","AQS","060371103","1","0.058","ppm","61","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"04/11/2017","AQS","060371103","1","0.055","ppm","51","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"04/12/2017","AQS","060371103","1","0.042","ppm","39","Los Angeles-North Main Street","14","82.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"04/13/2017","AQS","060371103","1","0.042","ppm","39","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"04/14/2017","AQS","060371103","1","0.051","ppm","47","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"04/15/2017","AQS","060371103","1","0.06","ppm","67","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"04/16/2017","AQS","060371103","1","0.06","ppm","67","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"04/17/2017","AQS","060371103","1","0.033","ppm","31","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"04/18/2017","AQS","060371103","1","0.027","ppm","25","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"04/19/2017","AQS","060371103","1","0.033","ppm","31","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"04/20/2017","AQS","060371103","1","0.052","ppm","48","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"04/21/2017","AQS","060371103","1","0.069","ppm","97","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"04/22/2017","AQS","060371103","1","0.086","ppm","151","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"04/23/2017","AQS","060371103","1","0.054","ppm","50","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"04/24/2017","AQS","060371103","1","0.048","ppm","44","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"04/25/2017","AQS","060371103","1","0.058","ppm","61","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"04/26/2017","AQS","060371103","1","0.04","ppm","37","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"04/27/2017","AQS","060371103","1","0.062","ppm","74","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"04/28/2017","AQS","060371103","1","0.057","ppm","58","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"04/29/2017","AQS","060371103","1","0.062","ppm","74","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"04/30/2017","AQS","060371103","1","0.071","ppm","101","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"05/01/2017","AQS","060371103","1","0.073","ppm","108","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"05/02/2017","AQS","060371103","1","0.062","ppm","74","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"05/03/2017","AQS","060371103","1","0.062","ppm","74","Los Angeles-North Main Street","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
